french
100 eChildren
200000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,857,0.000000000000,534,0.000000000000,3396,0.500000000000,-1,0.000797229211,193189,0.000001403502,95983,1.000000000000,21212,0.000000000000,6287,0.000000000000,4927,0.959827476599,-1,0.500000000000,-1,0.000000000000,1450,0.500000000000,-1
eChild 1,0.000000000000,841,0.000000000000,603,0.000000000000,3041,0.500000000000,-1,0.000912519792,197069,0.000001657074,98052,1.000000000000,21563,0.000000000000,6202,0.000000000000,5370,0.969140486964,-1,0.500000000000,-1,0.000000000000,1575,0.500000000000,-1
eChild 2,0.000000000000,920,0.000000000000,651,0.000000000000,3320,0.500000000000,-1,0.000880237505,195502,0.000001677089,98988,1.000000000000,21524,0.000000000000,6364,0.000000000000,5049,0.963560237294,-1,0.500000000000,-1,0.000000000000,1492,0.500000000000,-1
eChild 3,0.000000000000,882,0.000000000000,608,0.000000000000,3238,0.500000000000,-1,0.000921695380,197603,0.000001968240,100492,1.000000000000,21598,0.000000000000,7342,0.000000000000,4676,0.971947019442,-1,0.500000000000,-1,0.000000000000,1500,0.500000000000,-1
eChild 4,0.000000000000,826,0.000000000000,607,0.000000000000,3509,0.500000000000,-1,0.000858493625,195293,0.000001375697,98447,1.000000000000,21756,0.000000000000,6748,0.000000000000,4603,0.962751294977,-1,0.500000000000,-1,0.000000000000,1421,0.500000000000,-1
eChild 5,0.000000000000,898,0.000000000000,608,0.000000000000,3134,0.500000000000,-1,0.000896233309,196086,0.000001541903,98536,1.000000000000,21492,0.000000000000,6350,0.000000000000,5151,0.958416005411,-1,0.500000000000,-1,0.000000000000,1422,0.500000000000,-1
eChild 6,0.000000000000,851,0.000000000000,660,0.000000000000,2968,0.500000000000,-1,0.000904339888,196924,0.000001388141,97367,1.000000000000,21747,0.000000000000,5843,0.000000000000,4780,0.950472299450,-1,0.500000000000,-1,0.000000000000,1596,0.500000000000,-1
eChild 7,0.000000000000,850,0.000000000000,638,0.000000000000,3410,0.500000000000,-1,0.001009550346,-1,0.000001728190,98246,1.000000000000,21883,0.000000000000,6647,0.000000000000,4586,0.964712817979,-1,0.500000000000,-1,0.000000000000,1425,0.500000000000,-1
eChild 8,0.000000000000,930,0.000000000000,586,0.000000000000,3179,0.500000000000,-1,0.000810904860,192971,0.000001540362,98187,1.000000000000,22064,0.000000000000,7218,0.000000000000,4894,0.968278632785,-1,0.500000000000,-1,0.000000000000,1419,0.500000000000,-1
eChild 9,0.000000000000,860,0.000000000000,570,0.000000000000,2799,0.500000000000,-1,0.000825640742,193777,0.000001491826,98184,1.000000000000,21562,0.000000000000,6306,0.000000000000,5102,0.958941186298,-1,0.500000000000,-1,0.000000000000,1462,0.500000000000,-1
eChild 10,0.000000000000,901,0.000000000000,594,0.000000000000,3012,0.500000000000,-1,0.000871474635,195479,0.000001857276,100296,1.000000000000,21754,0.000000000000,6332,0.000000000000,4823,0.961953439779,-1,0.500000000000,-1,0.000000000000,1522,0.500000000000,-1
eChild 11,0.000000000000,892,0.000000000000,576,0.000000000000,2953,0.500000000000,-1,0.000828951578,193885,0.000001512869,97770,1.000000000000,22134,0.000000000000,7133,0.000000000000,5100,0.961038902849,-1,0.500000000000,-1,0.000000000000,1495,0.500000000000,-1
eChild 12,0.000000000000,859,0.000000000000,620,0.000000000000,3405,0.500000000000,-1,0.000891761096,196343,0.000001668721,99508,1.000000000000,21918,0.000000000000,6369,0.000000000000,4385,0.973106473287,-1,0.500000000000,-1,0.000000000000,1397,0.500000000000,-1
eChild 13,0.000000000000,902,0.000000000000,576,0.000000000000,3221,0.500000000000,-1,0.000923541539,196753,0.000001921541,98488,1.000000000000,21895,0.000000000000,6539,0.000000000000,5267,0.961133804301,-1,0.500000000000,-1,0.000000000000,1479,0.500000000000,-1
