2183
200 eChildren
1000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.018570360824211863,-1,0.9993890198029122,919,0.5,-1,0.5,-1,0.4955179580629371,-1,0.5597499248761382,-1,0.5,-1,0.15181282790414324,-1,0.14580103991913917,-1,0.32291510396262446,-1,0.5,-1,0.18831569304518486,-1,0.5,-1
eChild 1,0.040832257378277816,-1,0.9995007846954127,861,0.5,-1,0.5,-1,0.49255227318100103,-1,0.5762406007992272,-1,0.5,-1,0.09348335425320814,-1,0.11441251436247368,-1,0.3242099999991368,-1,0.5,-1,0.19059023879057269,-1,0.5,-1
eChild 2,0.040832257378277816,-1,0.9995837803569793,869,0.5,-1,0.5,-1,0.4950224401048741,-1,0.5779548154779124,-1,0.5,-1,0.08450154806409657,-1,0.1748742803778336,-1,0.3287831643811311,-1,0.5,-1,0.1911631549571424,-1,0.5,-1
eChild 3,0.03544752521018475,-1,0.9993890198029122,919,0.5,-1,0.5,-1,0.49601397203497205,-1,0.5854699437533502,-1,0.5,-1,0.11674746363517723,-1,0.12915674033441735,-1,0.326488575181005,-1,0.5,-1,0.18963919159405812,-1,0.5,-1
eChild 4,0.04251588648300481,-1,0.9994587678475508,917,0.5,-1,0.5,-1,0.4965104825174895,-1,0.57031109394799,-1,0.5,-1,0.12404213341717442,-1,0.1612984682234265,-1,0.3193807449751743,-1,0.5,-1,0.19059023879057269,-1,0.5,-1
eChild 5,0.021827889002341606,-1,0.9994695924905999,925,0.5,-1,0.5,-1,0.497007490007497,-1,0.5603756717748639,-1,0.5,-1,0.10768414321784532,-1,0.1612984682234265,-1,0.3245345345336705,-1,0.5,-1,0.18963919159405812,-1,0.5,-1
eChild 6,0.03690912662451557,-1,0.9996925930317507,852,0.5,-1,0.5,-1,0.4955179580629371,-1,0.6023497690662547,-1,0.5,-1,0.10553046035348841,-1,0.17137679477027692,-1,0.32226959666980315,-1,0.5,-1,0.19154605552213114,-1,0.5,-1
eChild 7,0.0509937038683985,-1,0.9995301425490449,898,0.5,-1,0.5,-1,0.4985014995,-1,0.6210776398211911,-1,0.5,-1,0.14877657134606037,-1,0.1612984682234265,-1,0.32098245061194786,-1,0.5,-1,0.1888817719044643,-1,0.5,-1
eChild 8,0.029554294817043605,-1,0.9995301425490449,891,0.5,-1,0.5,-1,0.4935388573568574,-1,0.574112379581428,-1,0.5,-1,0.12404213341717442,-1,0.12156129074883093,-1,0.3251845785061042,-1,0.5,-1,0.18793924997478756,-1,0.5,-1
eChild 9,0.03544752521018475,-1,0.9996458957184459,873,0.5,-1,0.5,-1,0.4950224401048741,-1,0.5432972861424968,-1,0.5,-1,0.14002731873834126,-1,0.10768414321784532,-1,0.3277978009086977,-1,0.5,-1,0.19097199180218524,-1,0.5,-1
