Q Aux S Never Verb O1 P O3 Adv,
DEC Adv S Aux Not Verb O1 O2,P3 P10 
DEC O1 S Verb P O3 Adv,P3 
DEC Adv S Aux Never Verb O1 O2,P3 P10 
DEC Adv S Aux Verb,P3 P10 
Q Aux S Never Verb O1 O2 P O3,
DEC S Verb O1 O2 P O3,P3 
DEC S Aux Never Verb P O3,P3 
DEC O1 S Aux Verb O2 Adv,P3 P10 
DEC S Aux Never Verb O1 O2 P O3,P3 
Q Adv[+WH] Aux S Never Verb O1 O2,
Q O1[+WH] Aux S Verb O2 P O3,
DEC O1 S Aux Verb,P3 P10 
DEC Adv S Aux Not Verb P O3,P3 P10 
Q Aux S Verb O1 Adv,
DEC O1 S Aux Never Verb O2 P O3,P3 P10 
DEC O3 S Aux Never Verb P,P3 P7 P10 
DEC S Verb O1,P3 
IMP Never Verb O1,
Q S[+WH] Aux Verb O1 O2,
Q S[+WH] Aux Not Verb O1 O2 P O3,
Q Aux S Not Verb O1 Adv,
Q S[+WH] Aux Never Verb,
Q O3[+WH] Aux S Not Verb O1 P,P7 
DEC O1 S Aux Never Verb O2 P O3 Adv,P3 P10 
Q O2[+WH] Aux S Never Verb O1 P O3 Adv,
IMP Verb,
Q S[+WH] Aux Never Verb O1 P O3 Adv,
IMP Not Verb O1 O2 P O3,
Q Adv[+WH] Aux S Never Verb,
Q Adv[+WH] Aux S Verb O1 P O3,
IMP Never Verb Adv,
DEC O1 S Aux Not Verb Adv,P3 P10 
DEC Adv S Aux Verb O1 O2,P3 P10 
DEC O3 S Never Verb O1 O2 P Adv,P3 P7 P11 
DEC S Aux Verb O1 O2 P O3 Adv,P3 
DEC O2 S Aux Verb O1 Adv,P3 P10 
Q O1[+WH] Aux S Never Verb P O3 Adv,
Q Aux S Not Verb O1,
Q Aux S Verb,
IMP Not Verb Adv,
DEC O1 S Never Verb O2 P O3,P3 
DEC S Never Verb O1 O2 Adv,P3 P11 
DEC O3 S Never Verb P Adv,P3 P7 
DEC O3 S Verb O1 P,P3 P7 
Q O2[+WH] Aux S Not Verb O1,
DEC S Aux Verb O1,P3 
