english
100 eChildren
500000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,757,0.000000000000,608,0.000000000000,4768,0.500000000000,-1,0.000000000000,16913,0.000000000000,8402,1.000000000000,3039,1.000000000000,6143,0.000000000000,3924,0.000000000000,1703,0.500000000000,-1,0.311049771192,-1,0.500000000000,-1
eChild 1,0.000000000000,709,0.000000000000,715,0.000000000000,4392,0.500000000000,-1,0.000000000000,16014,0.000000000000,7954,1.000000000000,3056,1.000000000000,5494,0.000000000000,4229,0.000000000000,1513,0.500000000000,-1,0.105918956511,-1,0.500000000000,-1
eChild 2,0.000000000000,785,0.000000000000,658,0.000000000000,4770,0.500000000000,-1,0.000000000000,17656,0.000000000000,8411,1.000000000000,2925,1.000000000000,5450,0.000000000000,3942,0.000000000000,1649,0.500000000000,-1,0.234415346377,-1,0.500000000000,-1
eChild 3,0.000000000000,776,0.000000000000,626,0.000000000000,4773,0.500000000000,-1,0.000000000000,17667,0.000000000000,8609,1.000000000000,2991,1.000000000000,5774,0.000000000000,3967,0.000000000000,1689,0.500000000000,-1,0.190342512359,-1,0.500000000000,-1
eChild 4,0.000000000000,719,0.000000000000,602,0.000000000000,4642,0.500000000000,-1,0.000000000000,16142,0.000000000000,8723,1.000000000000,3248,1.000000000000,5597,0.000000000000,3991,0.000000000000,1593,0.500000000000,-1,0.148596668441,-1,0.500000000000,-1
eChild 5,0.000000000000,787,0.000000000000,617,0.000000000000,4903,0.500000000000,-1,0.000000000000,16673,0.000000000000,8401,1.000000000000,3094,1.000000000000,5542,0.000000000000,4286,0.000000000000,1632,0.500000000000,-1,0.231558127024,-1,0.500000000000,-1
eChild 6,0.000000000000,678,0.000000000000,626,0.000000000000,4113,0.500000000000,-1,0.000000000000,16192,0.000000000000,8463,1.000000000000,3112,1.000000000000,5891,0.000000000000,4056,0.000000000000,1580,0.500000000000,-1,0.161332157772,-1,0.500000000000,-1
eChild 7,0.000000000000,715,0.000000000000,656,0.000000000000,4881,0.500000000000,-1,0.000000000000,15801,0.000000000000,7852,1.000000000000,2978,1.000000000000,5462,0.000000000000,3832,0.000000000000,1608,0.500000000000,-1,0.199268952850,-1,0.500000000000,-1
eChild 8,0.000000000000,708,0.000000000000,651,0.000000000000,4581,0.500000000000,-1,0.000000000000,16267,0.000000000000,8500,1.000000000000,3301,1.000000000000,5896,0.000000000000,3979,0.000000000000,1589,0.500000000000,-1,0.188218874414,-1,0.500000000000,-1
eChild 9,0.000000000000,705,0.000000000000,623,0.000000000000,5164,0.500000000000,-1,0.000000000000,16681,0.000000000000,8367,1.000000000000,3478,1.000000000000,5949,0.000000000000,3983,0.000000000000,1629,0.500000000000,-1,0.260981209349,-1,0.500000000000,-1
