English611
100 eChildren
50000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,752,0.000000000000,618,0.000000000000,4633,0.500000000000,-1,0.000000000000,938,0.000000000000,8301,1.000000000000,3083,1.000000000000,5584,0.000000000000,4068,0.500000000000,-1,0.500000000000,-1,1.000000000000,4219,0.500000000000,-1
eChild 1,0.000000000000,762,0.000000000000,603,0.000000000000,4733,0.500000000000,-1,0.000000000000,942,0.000000000000,9100,1.000000000000,3020,1.000000000000,5987,0.000000000000,4253,0.500000000000,-1,0.500000000000,-1,1.000000000000,3978,0.500000000000,-1
eChild 2,0.000000000000,773,0.000000000000,620,0.000000000000,4012,0.500000000000,-1,0.000000000000,922,0.000000000000,9154,1.000000000000,3168,1.000000000000,6079,0.000000000000,4441,0.500000000000,-1,0.500000000000,-1,1.000000000000,3755,0.500000000000,-1
eChild 3,0.000000000000,722,0.000000000000,663,0.000000000000,4464,0.500000000000,-1,0.000000000000,897,0.000000000000,8705,1.000000000000,3004,1.000000000000,5349,0.000000000000,4015,0.500000000000,-1,0.500000000000,-1,1.000000000000,3529,0.500000000000,-1
eChild 4,0.000000000000,784,0.000000000000,641,0.000000000000,4412,0.500000000000,-1,0.000000000000,950,0.000000000000,8919,1.000000000000,3085,1.000000000000,5814,0.000000000000,3794,0.500000000000,-1,0.500000000000,-1,1.000000000000,3530,0.500000000000,-1
eChild 5,0.000000000000,774,0.000000000000,654,0.000000000000,4549,0.500000000000,-1,0.000000000000,961,0.000000000000,8349,1.000000000000,2957,1.000000000000,6171,0.000000000000,3597,0.500000000000,-1,0.500000000000,-1,1.000000000000,3915,0.500000000000,-1
eChild 6,0.000000000000,776,0.000000000000,661,0.000000000000,4201,0.500000000000,-1,0.000000000000,941,0.000000000000,8266,1.000000000000,3048,1.000000000000,5419,0.000000000000,4208,0.500000000000,-1,0.500000000000,-1,1.000000000000,4077,0.500000000000,-1
eChild 7,0.000000000000,763,0.000000000000,612,0.000000000000,4514,0.500000000000,-1,0.000000000000,952,0.000000000000,8300,1.000000000000,2919,1.000000000000,5409,0.000000000000,4060,0.500000000000,-1,0.500000000000,-1,1.000000000000,4016,0.500000000000,-1
eChild 8,0.000000000000,751,0.000000000000,654,0.000000000000,4879,0.500000000000,-1,0.000000000000,932,0.000000000000,8597,1.000000000000,3155,1.000000000000,5530,0.000000000000,3954,0.500000000000,-1,0.500000000000,-1,1.000000000000,3522,0.500000000000,-1
eChild 9,0.000000000000,735,0.000000000000,659,0.000000000000,4190,0.500000000000,-1,0.000000000000,905,0.000000000000,8398,1.000000000000,3110,1.000000000000,5639,0.000000000000,4408,0.500000000000,-1,0.500000000000,-1,1.000000000000,3788,0.500000000000,-1
