english
100 eChildren
1000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.0001213705135743632,737,3.611417774420848e-05,661,0.12915674033441735,-1,0.5,-1,0.4775099909117798,-1,0.46431865535035116,-1,0.5886228089657053,-1,0.9251449474762069,-1,0.07485505252379303,-1,0.08002054714162159,-1,0.5,-1,0.9004770254333225,-1,0.5,-1
eChild 1,0.00011894310330287593,747,3.3310567675838524e-05,645,0.14002731873834126,-1,0.5,-1,0.48086597133924514,-1,0.4592366112079743,-1,0.5894451519705829,-1,0.9154984519359034,-1,0.10341985114641865,-1,0.07555565376474789,-1,0.5,-1,0.9040379040850215,-1,0.5,-1
eChild 2,0.00015466793290285622,737,4.602192950893895e-05,659,0.12156129074883093,-1,0.5,-1,0.48424553787976343,-1,0.4685184944310099,-1,0.5955605526752603,-1,0.8923158567821546,-1,0.11441251436247368,-1,0.08630599545488216,-1,0.5,-1,0.8942585842562649,-1,0.5,-1
eChild 3,0.0001119482972838404,742,4.076817560815365e-05,663,0.13722677236357445,-1,0.5,-1,0.47942481554227545,-1,0.4583185972221696,-1,0.5902658511117937,-1,0.9336902220526233,-1,0.10341985114641865,-1,0.07865586791358194,-1,0.5,-1,0.9023703415666511,-1,0.5,-1
eChild 4,0.00013158575809291075,729,3.199146919587532e-05,645,0.13722677236357445,-1,0.5,-1,0.47703248092086803,-1,0.46711434403468166,-1,0.5935322746631844,-1,0.9323369612781871,-1,0.10553046035348841,-1,0.07329329339119532,-1,0.5,-1,0.9082946991446877,-1,0.5,-1
eChild 5,0.00011423295641208205,709,2.2692245432732015e-05,595,0.12404213341717442,-1,0.5,-1,0.48473026814791137,-1,0.4685184944310099,-1,0.5877988188044955,-1,0.8965801488535813,-1,0.12915674033441735,-1,0.049531739576636924,-1,0.5,-1,0.9370303169151872,-1,0.5,-1
eChild 6,0.00011423295641208205,780,2.4110112955414e-05,617,0.12915674033441735,-1,0.5,-1,0.48376129234188364,-1,0.4633904823583058,-1,0.5853169323572098,-1,0.8965801488535813,-1,0.10988177879371971,-1,0.07708275055531044,-1,0.5,-1,0.904418135226163,-1,0.5,-1
eChild 7,0.00014266077668261093,743,1.3973438528714323e-05,604,0.14580103991913917,-1,0.5,-1,0.48327753104954174,-1,0.4592366112079743,-1,0.5865597379256183,-1,0.9171884828971854,-1,0.12915674033441735,-1,0.07599593272031453,-1,0.5,-1,0.9056786531184313,-1,0.5,-1
eChild 8,0.0001213705135743632,740,4.076817560815365e-05,657,0.10768414321784532,-1,0.5,-1,0.48327753104954174,-1,0.4615396989186682,-1,0.5923104286100391,-1,0.9400612126821761,-1,0.12404213341717442,-1,0.08988195364272528,-1,0.5,-1,0.8877636116607005,-1,0.5,-1
eChild 9,0.00018929516635369197,819,1.7101827904349132e-05,620,0.10341985114641865,-1,0.5,-1,0.47942481554227545,-1,0.4633904823583058,-1,0.5877988188044955,-1,0.9204678189744568,-1,0.12156129074883093,-1,0.09895853448104791,-1,0.5,-1,0.871790774231928,-1,0.5,-1
eChild 10,0.00014557222110470503,757,2.2238400524077374e-05,644,0.11674746363517723,-1,0.5,-1,0.48570118481635927,-1,0.4652486874766169,-1,0.5815660553818714,-1,0.8759578665828257,-1,0.15181282790414324,-1,0.08970227961739355,-1,0.5,-1,0.8840173726005679,-1,0.5,-1
eChild 11,9.916854619958804e-05,720,3.072460701571866e-05,655,0.10988177879371971,-1,0.5,-1,0.47942481554227545,-1,0.4629270918759475,-1,0.5943448036461326,-1,0.8986485458765097,-1,0.10553046035348841,-1,0.09521179242681209,-1,0.5,-1,0.8752643947169612,-1,0.5,-1
eChild 12,0.00012895404293105254,744,3.072460701571866e-05,645,0.1317925921779769,-1,0.5,-1,0.47798797889067046,-1,0.4638543366950008,-1,0.5923104286100391,-1,0.9375897674741526,-1,0.14288501912075638,-1,0.06850162619598679,-1,0.5,-1,0.9136015646340033,-1,0.5,-1
eChild 13,0.0001610453278871889,753,3.011011487540429e-05,649,0.10768414321784532,-1,0.5,-1,0.48521548363154293,-1,0.4657144018784954,-1,0.5987847665696541,-1,0.9006755749589794,-1,0.10768414321784532,-1,0.08298723943808385,-1,0.5,-1,0.8938238125440159,-1,0.5,-1
