lang,,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv,
"132",0,1.2e-322,2161,1.2e-322,713,0.5,-1,0.5,-1,0.004605559,-1,0.953690633,-1,0.5,-1,3.31E-288,4900,1.30E-257,4867,2.08E-94,14705,0.5,-1,7.86E-212,6424,0.5,-1
"132",0,1.2e-322,2200,1.2e-322,688,0.5,-1,0.5,-1,0.003428478,-1,0.939631102,-1,0.5,-1,3.73E-291,5015,7.09E-259,5570,3.89E-94,14560,0.5,-1,5.56E-212,6382,0.5,-1
"132",0,1.2e-322,2146,1.2e-322,774,0.5,-1,0.5,-1,0.00357204,-1,0.94456298,-1,0.5,-1,2.87E-288,4696,5.80E-259,5296,2.87E-94,14477,0.5,-1,6.02E-212,6382,0.5,-1
"132",0,1.2e-322,2328,1.2e-322,799,0.5,-1,0.5,-1,0.004354614,-1,0.941499523,-1,0.5,-1,3.12E-287,5188,2.29E-257,4933,4.63E-94,14617,0.5,-1,7.14E-212,6402,0.5,-1
"132",0,1.2e-322,2305,1.2e-322,785,0.5,-1,0.5,-1,0.004011619,-1,0.947012859,-1,0.5,-1,7.87E-291,4460,4.20E-258,5258,2.54E-94,14649,0.5,-1,5.36E-212,6381,0.5,-1
"132",0,1.2e-322,2199,1.2e-322,767,0.5,-1,0.5,-1,0.003586364,-1,0.952064461,-1,0.5,-1,1.99E-293,4531,5.46E-259,5394,3.15E-94,14524,0.5,-1,6.99E-212,6392,0.5,-1
"132",0,1.2e-322,2586,1.2e-322,817,0.5,-1,0.5,-1,0.003449121,-1,0.936591263,-1,0.5,-1,5.48E-290,4521,2.74E-260,4651,1.28E-94,14389,0.5,-1,4.84E-212,6372,0.5,-1
"132",0,1.2e-322,2135,1.2e-322,722,0.5,-1,0.5,-1,0.004011619,-1,0.940514793,-1,0.5,-1,5.82E-289,4500,1.20E-255,5317,2.54E-94,14577,0.5,-1,4.82E-212,6412,0.5,-1
"132",0,1.2e-322,2315,1.2e-322,772,0.5,-1,0.5,-1,0.003691945,-1,0.950022365,-1,0.5,-1,2.49E-288,4641,1.25E-256,5247,1.88E-94,14581,0.5,-1,6.68E-212,6380,0.5,-1
"132",0,1.2e-322,2490,1.2e-322,847,0.5,-1,0.5,-1,0.00370675,-1,0.94381478,-1,0.5,-1,1.47E-288,4675,4.03E-258,5335,2.49E-94,14343,0.5,-1,6.07E-212,6368,0.5,-1
"132",0,1.2e-322,2173,1.2e-322,761,0.5,-1,0.5,-1,0.003785455,-1,0.943533348,-1,0.5,-1,2.30E-287,4689,6.81E-259,5651,4.51E-94,14569,0.5,-1,6.78E-212,6407,0.5,-1
"132",0,1.2e-322,2210,1.2e-322,827,0.5,-1,0.5,-1,0.003647885,-1,0.934705242,-1,0.5,-1,8.53E-292,4410,4.84E-257,5024,3.72E-94,14446,0.5,-1,6.53E-212,6394,0.5,-1
"132",0,1.2e-322,1925,1.2e-322,866,0.5,-1,0.5,-1,0.00419636,-1,0.933957762,-1,0.5,-1,3.05E-289,4713,5.14E-257,5928,2.20E-94,14517,0.5,-1,7.10E-212,6384,0.5,-1
"132",0,1.2e-322,2285,1.2e-322,784,0.5,-1,0.5,-1,0.004035774,-1,0.945134272,-1,0.5,-1,1.63E-292,4386,3.65E-255,5316,3.75E-94,14370,0.5,-1,8.11E-212,6398,0.5,-1
