Japanese584
100 eChildren
50000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,883,0.000000000000,596,0.000000000000,3149,0.500000000000,-1,0.000000000000,1045,0.000000000000,9865,1.000000000000,2272,0.000000000000,6669,0.000000000000,5402,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 1,0.000000000000,872,0.000000000000,586,0.000000000000,3093,0.500000000000,-1,0.000000000000,1041,0.000000000000,10572,1.000000000000,2249,0.000000000000,7070,0.000000000000,4847,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 2,0.000000000000,927,0.000000000000,628,0.000000000000,3233,0.500000000000,-1,0.000000000000,1095,0.000000000000,10185,1.000000000000,2121,0.000000000000,5981,0.000000000000,5103,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 3,0.000000000000,850,0.000000000000,610,0.000000000000,3206,0.500000000000,-1,0.000000000000,1059,0.000000000000,9703,1.000000000000,2228,0.000000000000,7289,0.000000000000,4369,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 4,0.000000000000,916,0.000000000000,641,0.000000000000,3003,0.500000000000,-1,0.000000000000,1115,0.000000000000,10674,1.000000000000,2135,0.000000000000,7199,0.000000000000,4370,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 5,0.000000000000,899,0.000000000000,620,0.000000000000,3103,0.500000000000,-1,0.000000000000,1071,0.000000000000,9173,1.000000000000,2328,0.000000000000,6667,0.000000000000,4536,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 6,0.000000000000,916,0.000000000000,634,0.000000000000,3331,0.500000000000,-1,0.000000000000,1124,0.000000000000,9580,1.000000000000,2141,0.000000000000,6301,0.000000000000,5070,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 7,0.000000000000,869,0.000000000000,577,0.000000000000,3141,0.500000000000,-1,0.000000000000,1093,0.000000000000,10106,1.000000000000,2170,0.000000000000,6875,0.000000000000,4786,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 8,0.000000000000,872,0.000000000000,573,0.000000000000,3260,0.500000000000,-1,0.000000000000,1103,0.000000000000,9070,1.000000000000,2166,0.000000000000,6430,0.000000000000,5001,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 9,0.000000000000,892,0.000000000000,654,0.000000000000,3214,0.500000000000,-1,0.000000000000,1080,0.000000000000,9504,1.000000000000,2266,0.000000000000,6911,0.000000000000,4734,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 10,0.000000000000,839,0.000000000000,568,0.000000000000,3077,0.500000000000,-1,0.000000000000,1087,0.000000000000,9502,1.000000000000,2286,0.000000000000,6767,0.000000000000,4729,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 11,0.000000000000,885,0.000000000000,584,0.000000000000,3378,0.500000000000,-1,0.000000000000,1083,0.000000000000,10172,1.000000000000,2158,0.000000000000,6408,0.000000000000,5133,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 12,0.000000000000,919,0.000000000000,628,0.000000000000,3354,0.500000000000,-1,0.000000000000,1092,0.000000000000,9216,1.000000000000,2120,0.000000000000,6056,0.000000000000,4950,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 13,0.000000000000,894,0.000000000000,570,0.000000000000,2820,0.500000000000,-1,0.000000000000,1093,0.000000000000,9967,1.000000000000,2126,0.000000000000,6890,0.000000000000,4851,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 14,0.000000000000,970,0.000000000000,610,0.000000000000,3033,0.500000000000,-1,0.000000000000,1138,0.000000000000,9901,1.000000000000,2094,0.000000000000,6947,0.000000000000,4657,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 15,0.000000000000,831,0.000000000000,602,0.000000000000,3670,0.500000000000,-1,0.000000000000,1033,0.000000000000,10381,1.000000000000,2227,0.000000000000,5904,0.000000000000,4511,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 16,0.000000000000,893,0.000000000000,592,0.000000000000,3073,0.500000000000,-1,0.000000000000,1041,0.000000000000,10037,1.000000000000,2178,0.000000000000,6116,0.000000000000,4621,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
