french
300 eChildren
685 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.0039194774534189285,-1,0.0003200822243327171,579,0.14002731873834126,-1,0.5,-1,0.4861873721885478,-1,0.47703248092086803,-1,0.5919023309409801,-1,0.12915674033441735,-1,0.24653731030903914,-1,0.9414679072854264,-1,0.5,-1,0.02079407427701125,-1,0.5,-1
eChild 1,0.003075679505999319,-1,0.0005094033720276782,625,0.13448223691630296,-1,0.5,-1,0.49009443241476736,-1,0.47942481554227545,-1,0.582820102332326,-1,0.16459027369737397,-1,0.20554993075174768,-1,0.9372270623849872,-1,0.5,-1,0.020877458931472484,-1,0.5,-1
eChild 2,0.004994767327965779,-1,0.000915178102923847,674,0.15181282790414324,-1,0.5,-1,0.4915676611869122,-1,0.48376129234188364,-1,0.5923104286100391,-1,0.14002731873834126,-1,0.2228502019754755,-1,0.8910350438106304,-1,0.5,-1,0.04523001150922216,-1,0.5,-1
eChild 3,0.0034025984542978035,-1,0.0003400817520046039,577,0.14877657134606037,-1,0.5,-1,0.48911473364437025,-1,0.479904720262538,-1,0.5935322746631844,-1,0.10553046035348841,-1,0.19741015349397847,-1,0.9430386691523566,-1,0.5,-1,0.0218338796148017,-1,0.5,-1
eChild 4,0.005990741510603401,-1,0.00047944637852547444,614,0.10135145412349028,-1,0.5,-1,0.48813699329181515,-1,0.479904720262538,-1,0.592718118181429,-1,0.13722677236357445,-1,0.21402533397724666,-1,0.925239574178378,-1,0.5,-1,0.028126386723095514,-1,0.5,-1
eChild 5,0.003075679505999319,-1,0.00047944637852547444,606,0.12915674033441735,-1,0.5,-1,0.48862561891072587,-1,0.47703248092086803,-1,0.5869731781876927,-1,0.11674746363517723,-1,0.19346195042409892,-1,0.9367903038285292,-1,0.5,-1,0.026046915052109786,-1,0.5,-1
eChild 6,0.007331955561492457,-1,0.0007630276952632734,653,0.12156129074883093,-1,0.5,-1,0.4910760935257253,-1,0.479904720262538,-1,0.5979811308502236,-1,0.12404213341717442,-1,0.20143893213671274,-1,0.9122241230838527,-1,0.5,-1,0.034964065886832485,-1,0.5,-1
eChild 7,0.004514874062925434,-1,0.00039174259825387856,593,0.12156129074883093,-1,0.5,-1,0.48862561891072587,-1,0.48134731865790303,-1,0.5939387423885212,-1,0.09348335425320814,-1,0.2228502019754755,-1,0.9268130848012266,-1,0.5,-1,0.023690674818608957,-1,0.5,-1
eChild 8,0.004249363349032915,-1,0.0004892309984953821,609,0.11674746363517723,-1,0.5,-1,0.4915676611869122,-1,0.48134731865790303,-1,0.5861458838094278,-1,0.12915674033441735,-1,0.19741015349397847,-1,0.9356778048953944,-1,0.5,-1,0.026716924652788583,-1,0.5,-1
eChild 9,0.0032024984443974583,-1,0.000289328979260346,575,0.13722677236357445,-1,0.5,-1,0.4910760935257253,-1,0.47703248092086803,-1,0.5844863205119131,-1,0.14288501912075638,-1,0.1858008571873046,-1,0.9433134729840655,-1,0.5,-1,0.022360190804476647,-1,0.5,-1
