German2253
100 eChildren
50000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,1037,1.000000000000,778,0.000000000000,3337,0.500000000000,-1,0.000000000000,1153,0.579794460075,-1,1.000000000000,3266,0.000000000000,7669,0.000000000000,7363,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 1,0.000000000000,1045,1.000000000000,800,0.000000000000,3516,0.500000000000,-1,0.000000000000,1167,0.669712478260,-1,1.000000000000,3261,0.000000000000,7373,0.000000000000,7201,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 2,0.000000000000,1028,1.000000000000,770,0.000000000000,3563,0.500000000000,-1,0.000000000000,1178,0.653408428075,-1,1.000000000000,3079,0.000000000000,7658,0.000000000000,7586,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 3,0.000000000000,1080,1.000000000000,743,0.000000000000,3525,0.500000000000,-1,0.000000000000,1170,0.633606292987,-1,1.000000000000,3213,0.000000000000,7726,0.000000000000,7859,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 4,0.000000000000,1078,1.000000000000,820,0.000000000000,3360,0.500000000000,-1,0.000000000000,1125,0.660890905233,-1,1.000000000000,3306,0.000000000000,8205,0.000000000000,7466,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 5,0.000000000000,1031,1.000000000000,786,0.000000000000,3594,0.500000000000,-1,0.000000000000,1130,0.567500026518,-1,1.000000000000,3161,0.000000000000,7863,0.000000000000,7831,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 6,0.000000000000,1040,1.000000000000,866,0.000000000000,3925,0.500000000000,-1,0.000000000000,1155,0.616844765610,-1,1.000000000000,3335,0.000000000000,7826,0.000000000000,7035,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 7,0.000000000000,1010,1.000000000000,709,0.000000000000,3749,0.500000000000,-1,0.000000000000,1150,0.657143632372,-1,1.000000000000,3282,0.000000000000,7295,0.000000000000,7161,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 8,0.000000000000,1115,1.000000000000,777,0.000000000000,3752,0.500000000000,-1,0.000000000000,1196,0.628027815908,-1,1.000000000000,3388,0.000000000000,8101,0.000000000000,7312,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 9,0.000000000000,1123,1.000000000000,798,0.000000000000,3969,0.500000000000,-1,0.000000000000,1149,0.651493572038,-1,1.000000000000,3150,0.000000000000,7658,0.000000000000,6834,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 10,0.000000000000,1148,1.000000000000,745,0.000000000000,3495,0.500000000000,-1,0.000000000000,1164,0.623139307204,-1,1.000000000000,3176,0.000000000000,8431,0.000000000000,7020,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 11,0.000000000000,1028,1.000000000000,767,0.000000000000,3467,0.500000000000,-1,0.000000000000,1107,0.609902927076,-1,1.000000000000,3422,0.000000000000,7901,0.000000000000,7472,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 12,0.000000000000,1094,1.000000000000,849,0.000000000000,3281,0.500000000000,-1,0.000000000000,1191,0.649743410509,-1,1.000000000000,3231,0.000000000000,8170,0.000000000000,7845,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 13,0.000000000000,1033,1.000000000000,761,0.000000000000,3944,0.500000000000,-1,0.000000000000,1128,0.599832929492,-1,1.000000000000,3091,0.000000000000,8038,0.000000000000,7699,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 14,0.000000000000,967,1.000000000000,828,0.000000000000,4215,0.500000000000,-1,0.000000000000,1129,0.601538669410,-1,1.000000000000,3188,0.000000000000,6872,0.000000000000,6624,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 15,0.000000000000,1130,1.000000000000,775,0.000000000000,3476,0.500000000000,-1,0.000000000000,1195,0.608618481855,-1,1.000000000000,3229,0.000000000000,7849,0.000000000000,7130,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 16,0.000000000000,1004,1.000000000000,795,0.000000000000,3528,0.500000000000,-1,0.000000000000,1151,0.601368185880,-1,1.000000000000,3255,0.000000000000,8035,0.000000000000,7986,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 17,0.000000000000,1029,1.000000000000,809,0.000000000000,4180,0.500000000000,-1,0.000000000000,1108,0.616880113639,-1,1.000000000000,3228,0.000000000000,7788,0.000000000000,7436,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 18,0.000000000000,998,1.000000000000,799,0.000000000000,3430,0.500000000000,-1,0.000000000000,1135,0.552431729704,-1,1.000000000000,3294,0.000000000000,7595,0.000000000000,7657,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 19,0.000000000000,1079,1.000000000000,751,0.000000000000,3393,0.500000000000,-1,0.000000000000,1173,0.657893590792,-1,1.000000000000,3318,0.000000000000,8417,0.000000000000,7929,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 20,0.000000000000,1002,1.000000000000,839,0.000000000000,3427,0.500000000000,-1,0.000000000000,1087,0.538788659013,-1,1.000000000000,3345,0.000000000000,8226,0.000000000000,7039,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 21,0.000000000000,975,1.000000000000,779,0.000000000000,4045,0.500000000000,-1,0.000000000000,1091,0.582388886771,-1,1.000000000000,3428,0.000000000000,8250,0.000000000000,7160,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 22,0.000000000000,1067,1.000000000000,755,0.000000000000,3116,0.500000000000,-1,0.000000000000,1150,0.625359326673,-1,1.000000000000,3174,0.000000000000,8192,0.000000000000,7633,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 23,0.000000000000,1014,1.000000000000,835,0.000000000000,3700,0.500000000000,-1,0.000000000000,1139,0.560284191688,-1,1.000000000000,3288,0.000000000000,8366,0.000000000000,8166,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 24,0.000000000000,1053,1.000000000000,873,0.000000000000,3437,0.500000000000,-1,0.000000000000,1157,0.673346055751,-1,1.000000000000,3276,0.000000000000,8004,0.000000000000,7217,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 25,0.000000000000,947,1.000000000000,837,0.000000000000,3879,0.500000000000,-1,0.000000000000,1111,0.572024577955,-1,1.000000000000,3260,0.000000000000,8658,0.000000000000,6991,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 26,0.000000000000,1016,1.000000000000,802,0.000000000000,3444,0.500000000000,-1,0.000000000000,1152,0.604633970189,-1,1.000000000000,3197,0.000000000000,7301,0.000000000000,7149,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 27,0.000000000000,1036,1.000000000000,861,0.000000000000,3354,0.500000000000,-1,0.000000000000,1128,0.672916148166,-1,1.000000000000,3270,0.000000000000,8101,0.000000000000,7815,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 28,0.000000000000,1037,1.000000000000,734,0.000000000000,3662,0.500000000000,-1,0.000000000000,1131,0.587382257642,-1,1.000000000000,3237,0.000000000000,7156,0.000000000000,6992,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 29,0.000000000000,1009,1.000000000000,804,0.000000000000,3919,0.500000000000,-1,0.000000000000,1124,0.581189213033,-1,1.000000000000,3389,0.000000000000,7143,0.000000000000,6739,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 30,0.000000000000,1037,1.000000000000,782,0.000000000000,3320,0.500000000000,-1,0.000000000000,1183,0.625135558695,-1,1.000000000000,3247,0.000000000000,7682,0.000000000000,7035,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 31,0.000000000000,1067,1.000000000000,768,0.000000000000,3798,0.500000000000,-1,0.000000000000,1138,0.644517802637,-1,1.000000000000,3149,0.000000000000,7376,0.000000000000,6527,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 32,0.000000000000,1056,1.000000000000,844,0.000000000000,3746,0.500000000000,-1,0.000000000000,1114,0.581982685179,-1,1.000000000000,3405,0.000000000000,7051,0.000000000000,6743,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 33,0.000000000000,1079,1.000000000000,809,0.000000000000,3499,0.500000000000,-1,0.000000000000,1189,0.628646550940,-1,1.000000000000,3273,0.000000000000,8352,0.000000000000,6666,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 34,0.000000000000,976,1.000000000000,788,0.000000000000,3458,0.500000000000,-1,0.000000000000,1102,0.572901698944,-1,1.000000000000,3300,0.000000000000,7164,0.000000000000,7233,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 35,0.000000000000,1050,1.000000000000,787,0.000000000000,3565,0.500000000000,-1,0.000000000000,1177,0.665733500319,-1,1.000000000000,3168,0.000000000000,7909,0.000000000000,7530,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 36,0.000000000000,1066,1.000000000000,784,0.000000000000,3803,0.500000000000,-1,0.000000000000,1164,0.553723195768,-1,1.000000000000,3072,0.000000000000,7419,0.000000000000,6971,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 37,0.000000000000,1077,1.000000000000,828,0.000000000000,3955,0.500000000000,-1,0.000000000000,1160,0.678973881000,-1,1.000000000000,3289,0.000000000000,8353,0.000000000000,6843,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 38,0.000000000000,980,1.000000000000,807,0.000000000000,3989,0.500000000000,-1,0.000000000000,1103,0.667895233139,-1,1.000000000000,3331,0.000000000000,7939,0.000000000000,7200,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 39,0.000000000000,1038,1.000000000000,798,0.000000000000,3593,0.500000000000,-1,0.000000000000,1140,0.609790324016,-1,1.000000000000,3242,0.000000000000,8142,0.000000000000,7720,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 40,0.000000000000,1003,1.000000000000,775,0.000000000000,3890,0.500000000000,-1,0.000000000000,1152,0.554864538611,-1,1.000000000000,3097,0.000000000000,8440,0.000000000000,7343,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 41,0.000000000000,1001,1.000000000000,824,0.000000000000,3707,0.500000000000,-1,0.000000000000,1116,0.629624076476,-1,1.000000000000,3335,0.000000000000,7943,0.000000000000,7428,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 42,0.000000000000,980,1.000000000000,784,0.000000000000,3797,0.500000000000,-1,0.000000000000,1140,0.611270890450,-1,1.000000000000,3117,0.000000000000,7918,0.000000000000,7768,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 43,0.000000000000,1008,1.000000000000,850,0.000000000000,4039,0.500000000000,-1,0.000000000000,1127,0.709639953979,-1,1.000000000000,3353,0.000000000000,7521,0.000000000000,7933,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 44,0.000000000000,1020,1.000000000000,808,0.000000000000,3788,0.500000000000,-1,0.000000000000,1146,0.659245734251,-1,1.000000000000,3164,0.000000000000,8174,0.000000000000,7997,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 45,0.000000000000,1002,1.000000000000,864,0.000000000000,4009,0.500000000000,-1,0.000000000000,1104,0.628150157057,-1,1.000000000000,3408,0.000000000000,7750,0.000000000000,7192,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 46,0.000000000000,1029,1.000000000000,740,0.000000000000,3616,0.500000000000,-1,0.000000000000,1123,0.644945626896,-1,1.000000000000,3245,0.000000000000,7430,0.000000000000,7346,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 47,0.000000000000,1000,1.000000000000,794,0.000000000000,3706,0.500000000000,-1,0.000000000000,1095,0.587829942806,-1,1.000000000000,3514,0.000000000000,7546,0.000000000000,7514,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 48,0.000000000000,1029,1.000000000000,801,0.000000000000,3614,0.500000000000,-1,0.000000000000,1154,0.685919008400,-1,1.000000000000,3047,0.000000000000,8098,0.000000000000,7779,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 49,0.000000000000,1012,1.000000000000,743,0.000000000000,3556,0.500000000000,-1,0.000000000000,1161,0.678489723670,-1,1.000000000000,3167,0.000000000000,7098,0.000000000000,7578,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 50,0.000000000000,1074,1.000000000000,759,0.000000000000,3562,0.500000000000,-1,0.000000000000,1141,0.625302180766,-1,1.000000000000,3196,0.000000000000,7574,0.000000000000,6887,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 51,0.000000000000,953,1.000000000000,840,0.000000000000,3455,0.500000000000,-1,0.000000000000,1098,0.600306427522,-1,1.000000000000,3266,0.000000000000,6965,0.000000000000,7054,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 52,0.000000000000,1061,1.000000000000,807,0.000000000000,3628,0.500000000000,-1,0.000000000000,1111,0.574350377495,-1,1.000000000000,3298,0.000000000000,7639,0.000000000000,7362,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 53,0.000000000000,1039,1.000000000000,821,0.000000000000,3652,0.500000000000,-1,0.000000000000,1111,0.535620566897,-1,1.000000000000,3298,0.000000000000,7772,0.000000000000,6920,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 54,0.000000000000,1049,1.000000000000,837,0.000000000000,3389,0.500000000000,-1,0.000000000000,1115,0.608243879601,-1,1.000000000000,3223,0.000000000000,7622,0.000000000000,6669,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 55,0.000000000000,1004,1.000000000000,765,0.000000000000,3659,0.500000000000,-1,0.000000000000,1138,0.670232511666,-1,1.000000000000,3303,0.000000000000,8308,0.000000000000,7718,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 56,0.000000000000,1134,1.000000000000,855,0.000000000000,3586,0.500000000000,-1,0.000000000000,1175,0.634904010455,-1,1.000000000000,3393,0.000000000000,7501,0.000000000000,7014,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 57,0.000000000000,1022,1.000000000000,829,0.000000000000,3653,0.500000000000,-1,0.000000000000,1163,0.567356912736,-1,1.000000000000,3331,0.000000000000,7871,0.000000000000,7374,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 58,0.000000000000,985,1.000000000000,821,0.000000000000,3858,0.500000000000,-1,0.000000000000,1095,0.573077044808,-1,1.000000000000,3315,0.000000000000,7135,0.000000000000,7703,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
