german
100 eChildren
200000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,1085,1.000000000000,785,0.000000000000,3835,0.500000000000,-1,0.006824101381,-1,0.936526737998,-1,1.000000000000,31804,0.000000000000,7855,0.000000000000,7944,0.964480244814,-1,0.500000000000,-1,0.000000000000,1085,0.500000000000,-1
eChild 1,0.000000000000,1045,1.000000000000,817,0.000000000000,3686,0.500000000000,-1,0.007857992870,-1,0.950741526394,-1,1.000000000000,32224,0.000000000000,7549,0.000000000000,7286,0.961793973353,-1,0.500000000000,-1,0.000000000000,1079,0.500000000000,-1
eChild 2,0.000000000000,929,1.000000000000,842,0.000000000000,3612,0.500000000000,-1,0.006722453296,-1,0.949091646053,-1,1.000000000000,32426,0.000000000000,7284,0.000000000000,8109,0.963933208529,-1,0.500000000000,-1,0.000000000000,996,0.500000000000,-1
eChild 3,0.000000000000,1104,1.000000000000,779,0.000000000000,3844,0.500000000000,-1,0.008073157928,-1,0.938741568169,-1,1.000000000000,32784,0.000000000000,7088,0.000000000000,7354,0.963692064926,-1,0.500000000000,-1,0.000000000000,1092,0.500000000000,-1
eChild 4,0.000000000000,1065,1.000000000000,808,0.000000000000,3482,0.500000000000,-1,0.007656218589,-1,0.929637753664,-1,1.000000000000,32324,0.000000000000,7972,0.000000000000,7311,0.971642132384,-1,0.500000000000,-1,0.000000000000,1036,0.500000000000,-1
eChild 5,0.000000000000,998,1.000000000000,827,0.000000000000,3668,0.500000000000,-1,0.007275355574,-1,0.931887805869,-1,1.000000000000,33065,0.000000000000,6819,0.000000000000,7121,0.974620071188,-1,0.500000000000,-1,0.000000000000,1093,0.500000000000,-1
eChild 6,0.000000000000,959,1.000000000000,799,0.000000000000,3887,0.500000000000,-1,0.007319160898,-1,0.927289463125,-1,1.000000000000,32797,0.000000000000,7524,0.000000000000,6786,0.978420858927,-1,0.500000000000,-1,0.000000000000,1036,0.500000000000,-1
eChild 7,0.000000000000,1002,1.000000000000,829,0.000000000000,3503,0.500000000000,-1,0.007053170117,-1,0.932570692919,-1,1.000000000000,32606,0.000000000000,7730,0.000000000000,6836,0.974010236952,-1,0.500000000000,-1,0.000000000000,1025,0.500000000000,-1
eChild 8,0.000000000000,1010,1.000000000000,789,0.000000000000,3534,0.500000000000,-1,0.007710027138,-1,0.939211911852,-1,1.000000000000,33109,0.000000000000,7281,0.000000000000,6809,0.962559564648,-1,0.500000000000,-1,0.000000000000,1146,0.500000000000,-1
eChild 9,0.000000000000,1093,1.000000000000,826,0.000000000000,3456,0.500000000000,-1,0.006635583836,-1,0.938643548037,-1,1.000000000000,32793,0.000000000000,7558,0.000000000000,7114,0.974539310967,-1,0.500000000000,-1,0.000000000000,1111,0.500000000000,-1
