Japanese3856
100 eChildren
50000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,5557,1.000000000000,878,1.000000000000,425,0.500000000000,-1,0.080291618919,-1,0.000122821935,36438,0.220198275212,-1,0.000000000000,8855,1.000000000000,461,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 1,0.000000000000,5428,1.000000000000,878,1.000000000000,407,0.500000000000,-1,0.114942300557,-1,0.000134449498,36642,0.240304117493,-1,0.000000000000,9530,1.000000000000,480,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 2,0.000000000000,5440,1.000000000000,805,1.000000000000,431,0.500000000000,-1,0.143885635809,-1,0.000112199956,37951,0.176093255771,-1,0.000000000000,9694,1.000000000000,457,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 3,0.000000000000,5238,1.000000000000,820,1.000000000000,417,0.500000000000,-1,0.151936872649,-1,0.000209223577,39662,0.168593600780,-1,0.000000000000,9305,1.000000000000,436,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 4,0.000000000000,6002,1.000000000000,819,1.000000000000,409,0.500000000000,-1,0.121766244753,-1,0.000070666184,33953,0.234634716099,-1,0.000000000000,9132,1.000000000000,467,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 5,0.000000000000,5195,1.000000000000,796,1.000000000000,424,0.500000000000,-1,0.131659068909,-1,0.000121593716,37643,0.245105358388,-1,0.000000000000,8939,1.000000000000,471,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 6,0.000000000000,6440,1.000000000000,858,1.000000000000,411,0.500000000000,-1,0.072504307211,-1,0.000297425919,41321,0.229526985347,-1,0.000000000000,8746,1.000000000000,455,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 7,0.000000000000,5897,1.000000000000,769,1.000000000000,457,0.500000000000,-1,0.133686585552,-1,0.000211336947,39948,0.176047151815,-1,0.000000000000,9242,1.000000000000,477,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 8,0.000000000000,5873,1.000000000000,838,1.000000000000,407,0.500000000000,-1,0.113967853703,-1,0.000162738567,39213,0.159953200031,-1,0.000000000000,8766,1.000000000000,454,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
eChild 9,0.000000000000,5244,1.000000000000,847,1.000000000000,407,0.500000000000,-1,0.093108201691,-1,0.000245723962,41765,0.158538233724,-1,0.000000000000,9132,1.000000000000,442,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1,0.500000000000,-1
