japanese
100 eChildren
200000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,5568,1.000000000000,780,1.000000000000,405,0.500000000000,-1,0.942231103623,-1,0.016360959167,-1,0.033757596969,-1,0.000000000000,9871,1.000000000000,438,0.000000000000,12520,0.500000000000,-1,0.000000000000,6382,0.500000000000,-1
eChild 1,0.000000000000,5489,1.000000000000,872,1.000000000000,422,0.500000000000,-1,0.960386157617,-1,0.018448037537,-1,0.018856012892,-1,0.000000000000,9691,1.000000000000,444,0.000000000000,12942,0.500000000000,-1,0.000000000000,6409,0.500000000000,-1
eChild 2,0.000000000000,5234,1.000000000000,839,1.000000000000,442,0.500000000000,-1,0.941299998966,-1,0.017460313052,-1,0.022061590051,-1,0.000000000000,9538,1.000000000000,454,0.000000000000,12819,0.500000000000,-1,0.000000000000,6433,0.500000000000,-1
eChild 3,0.000000000000,6124,1.000000000000,779,1.000000000000,437,0.500000000000,-1,0.935263228215,-1,0.018429589499,-1,0.034337227952,-1,0.000000000000,9315,1.000000000000,465,0.000000000000,12874,0.500000000000,-1,0.000000000000,6431,0.500000000000,-1
eChild 4,0.000000000000,5192,1.000000000000,838,1.000000000000,440,0.500000000000,-1,0.941517814776,-1,0.019297595705,-1,0.020768198183,-1,0.000000000000,9214,1.000000000000,477,0.000000000000,12818,0.500000000000,-1,0.000000000000,6414,0.500000000000,-1
eChild 5,0.000000000000,5099,1.000000000000,835,1.000000000000,427,0.500000000000,-1,0.957416164466,-1,0.018411159910,-1,0.018426967142,-1,0.000000000000,9730,1.000000000000,438,0.000000000000,12749,0.500000000000,-1,0.000000000000,6426,0.500000000000,-1
eChild 6,0.000000000000,5169,1.000000000000,866,1.000000000000,435,0.500000000000,-1,0.954739372669,-1,0.018010339151,-1,0.026661368329,-1,0.000000000000,9449,1.000000000000,482,0.000000000000,12859,0.500000000000,-1,0.000000000000,6408,0.500000000000,-1
eChild 7,0.000000000000,5272,1.000000000000,888,1.000000000000,423,0.500000000000,-1,0.960737956848,-1,0.018708257481,-1,0.023108968931,-1,0.000000000000,9549,1.000000000000,445,0.000000000000,12803,0.500000000000,-1,0.000000000000,6429,0.500000000000,-1
eChild 8,0.000000000000,5902,1.000000000000,862,1.000000000000,424,0.500000000000,-1,0.940873931928,-1,0.016792140791,-1,0.024071533959,-1,0.000000000000,9665,1.000000000000,458,0.000000000000,12955,0.500000000000,-1,0.000000000000,6431,0.500000000000,-1
eChild 9,0.000000000000,5573,1.000000000000,828,1.000000000000,423,0.500000000000,-1,0.944216319229,-1,0.016876353966,-1,0.029292156378,-1,0.000000000000,8583,1.000000000000,446,0.000000000000,12878,0.500000000000,-1,0.000000000000,6431,0.500000000000,-1
eChild 10,0.000000000000,5553,1.000000000000,836,1.000000000000,407,0.500000000000,-1,0.953791955935,-1,0.019530679117,-1,0.030274026205,-1,0.000000000000,9413,1.000000000000,453,0.000000000000,12985,0.500000000000,-1,0.000000000000,6417,0.500000000000,-1
eChild 11,0.000000000000,5459,1.000000000000,751,1.000000000000,415,0.500000000000,-1,0.952390958361,-1,0.018820900950,-1,0.025235331329,-1,0.000000000000,9188,1.000000000000,436,0.000000000000,12987,0.500000000000,-1,0.000000000000,6423,0.500000000000,-1
eChild 12,0.000000000000,5986,1.000000000000,935,1.000000000000,413,0.500000000000,-1,0.953153588634,-1,0.018337625664,-1,0.025976703221,-1,0.000000000000,10223,1.000000000000,460,0.000000000000,12591,0.500000000000,-1,0.000000000000,6407,0.500000000000,-1
eChild 13,0.000000000000,5536,1.000000000000,859,1.000000000000,407,0.500000000000,-1,0.940425055775,-1,0.019239760791,-1,0.030647705622,-1,0.000000000000,8882,1.000000000000,452,0.000000000000,13047,0.500000000000,-1,0.000000000000,6434,0.500000000000,-1
eChild 14,0.000000000000,5150,1.000000000000,855,1.000000000000,414,0.500000000000,-1,0.953382973618,-1,0.017390576492,-1,0.014302904462,-1,0.000000000000,9298,1.000000000000,459,0.000000000000,12877,0.500000000000,-1,0.000000000000,6405,0.500000000000,-1
eChild 15,0.000000000000,5208,1.000000000000,858,1.000000000000,434,0.500000000000,-1,0.953969498005,-1,0.020045396491,-1,0.021928638359,-1,0.000000000000,10435,1.000000000000,467,0.000000000000,12721,0.500000000000,-1,0.000000000000,6421,0.500000000000,-1
eChild 16,0.000000000000,5903,1.000000000000,834,1.000000000000,440,0.500000000000,-1,0.946788306345,-1,0.016842618135,-1,0.026928353726,-1,0.000000000000,9434,1.000000000000,460,0.000000000000,13049,0.500000000000,-1,0.000000000000,6429,0.500000000000,-1
eChild 17,0.000000000000,5568,1.000000000000,839,1.000000000000,417,0.500000000000,-1,0.954878162249,-1,0.018577691898,-1,0.026070039003,-1,0.000000000000,8996,1.000000000000,473,0.000000000000,12710,0.500000000000,-1,0.000000000000,6430,0.500000000000,-1
