English611
15 eChildren
10000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.000000000000,728,0.000000000000,644,0.000000761830,4505,0.500000000000,-1,0.000000000000,915,0.500000000000,-1,0.999999999077,3054,0.999983903896,5654,0.000000148310,4141,0.500000000000,-1,0.500000000000,-1,0.999999935220,3907,0.500000000000,-1
eChild 1,0.000000000000,797,0.000000000000,627,0.000000469120,4693,0.500000000000,-1,0.000000000000,915,0.500000000000,-1,0.999999999268,3060,0.999989886057,5776,0.000000066102,3650,0.500000000000,-1,0.500000000000,-1,0.999999974424,3672,0.500000000000,-1
eChild 2,0.000000000000,783,0.000000000000,624,0.000000441532,4391,0.500000000000,-1,0.000000000000,961,0.500000000000,-1,0.999999999049,3000,0.999988111915,5740,0.000000192855,4096,0.500000000000,-1,0.500000000000,-1,0.999999941444,3645,0.500000000000,-1
eChild 3,0.000000000000,805,0.000000000000,602,0.000001514159,4798,0.500000000000,-1,0.000000000000,937,0.500000000000,-1,0.999999999040,3025,0.999990671221,5556,0.000000107346,4240,0.500000000000,-1,0.500000000000,-1,0.999999962456,3889,0.500000000000,-1
eChild 4,0.000000000000,779,0.000000000000,617,0.000000809431,4854,0.500000000000,-1,0.000000000000,921,0.500000000000,-1,0.999999999425,2943,0.999995112810,5776,0.000000167423,3983,0.500000000000,-1,0.500000000000,-1,0.999999962456,3960,0.500000000000,-1
eChild 5,0.000000000000,823,0.000000000000,621,0.000000498432,4464,0.500000000000,-1,0.000000000000,936,0.500000000000,-1,0.999999999214,3066,0.999978642240,6100,0.000000488463,4799,0.500000000000,-1,0.500000000000,-1,0.999999960110,3832,0.500000000000,-1
eChild 6,0.000000000000,853,0.000000000000,643,0.000000478694,4216,0.500000000000,-1,0.000000000000,973,0.500000000000,-1,0.999999999182,3125,0.999992222151,5837,0.000000217708,4248,0.500000000000,-1,0.500000000000,-1,0.999999979102,3822,0.500000000000,-1
eChild 7,0.000000000000,731,0.000000000000,688,0.000000222151,4130,0.500000000000,-1,0.000000000000,920,0.500000000000,-1,0.999999998460,3112,0.999993772033,5321,0.000000074620,3639,0.500000000000,-1,0.500000000000,-1,0.999999963207,3660,0.500000000000,-1
eChild 8,0.000000000000,732,0.000000000000,650,0.000000540383,4324,0.500000000000,-1,0.000000000000,961,0.500000000000,-1,0.999999999358,3167,0.999994370411,5555,0.000000079283,4215,0.500000000000,-1,0.500000000000,-1,0.999999920717,3922,0.500000000000,-1
eChild 9,0.000000000000,749,0.000000000000,659,0.000000306925,4350,0.500000000000,-1,0.000000000000,915,0.500000000000,-1,0.999999998209,3203,0.999988111915,6050,0.000000071665,3944,0.500000000000,-1,0.500000000000,-1,0.999999981110,3916,0.500000000000,-1
eChild 10,0.000000000000,757,0.000000000000,617,0.000001118311,5203,0.500000000000,-1,0.000000000000,910,0.500000000000,-1,0.999999999096,3028,0.999995925316,5318,0.000000121180,4273,0.500000000000,-1,0.500000000000,-1,0.999999980331,3720,0.500000000000,-1
eChild 11,0.000000000000,691,0.000000000000,613,0.000001095945,4382,0.500000000000,-1,0.000000000000,897,0.500000000000,-1,0.999999998753,3238,0.999993515236,5137,0.000000126177,4034,0.500000000000,-1,0.500000000000,-1,0.999999979520,3639,0.500000000000,-1
eChild 12,0.000000000000,769,0.000000000000,639,0.000000913742,4940,0.500000000000,-1,0.000000000000,949,0.500000000000,-1,0.999999999253,2980,0.999994911297,5707,0.000000332757,4190,0.500000000000,-1,0.500000000000,-1,0.999999954969,4273,0.500000000000,-1
eChild 13,0.000000000000,792,0.000000000000,609,0.000001118311,4948,0.500000000000,-1,0.000000000000,967,0.500000000000,-1,0.999999999253,2960,0.999994018660,5566,0.000000261120,4493,0.500000000000,-1,0.500000000000,-1,0.999999945990,3564,0.500000000000,-1
eChild 14,0.000000000000,779,0.000000000000,623,0.000000469120,4632,0.500000000000,-1,0.000000000000,925,0.500000000000,-1,0.999999999207,3071,0.999993896592,5233,0.000000105199,4262,0.500000000000,-1,0.500000000000,-1,0.999999962456,3828,0.500000000000,-1
